,0,1,2,3,4,5,6
0,省/直辖市,地市,许可证编号,单位名称,行业类别,有效期限,发证日期
1,上海市,市辖区,91310116769449720Y001P,上海固创化工新材料有限公司,有机化学原料制造,2021-12-21至2026-12-20,2021-12-03
2,上海市,市辖区,91310116586766897X001X,进彩新材料（上海）有限公司,涂料制造,2023-01-06至2028-01-05,2023-01-06
3,上海市,市辖区,913100007402905337001V,科莱恩催化剂（上海）有限公司,化学试剂和助剂制造,2023-01-05至2028-01-04,2023-01-05
4,上海市,市辖区,913100007639542757001C,圣莱科特精细化工（上海）有限公司,其他合成材料制造,2022-12-30至2027-12-29,2022-12-30
5,上海市,市辖区,913100006073372599001U,巴斯夫上海涂料有限公司（化工区）,涂料制造,2022-12-29至2027-12-28,2022-12-29
6,上海市,市辖区,913101201326081818001P,华东理工大学华昌聚合物有限公司,初级形态塑料及合成树脂制造,2022-12-28至2027-12-27,2022-12-28
7,上海市,市辖区,91310000060899994C001P,英威达尼龙化工（中国）有限公司,有机化学原料制造,2022-12-28至2027-12-27,2022-12-28
8,上海市,市辖区,91310000667750248Q001V,上海炼升化工股份有限公司,专项化学用品制造,2023-01-01至2027-12-31,2022-12-28
9,上海市,市辖区,91310114133629603R001V,上海嘉定马陆化工厂有限公司,无机盐制造,2022-12-27至2027-12-26,2022-12-27
10,上海市,市辖区,91310000607414568M001U,铃鹿复合建材（上海）有限公司,涂料制造,2022-10-19至2027-10-18,2022-10-19
11,上海市,市辖区,913100006073379101001Q,阿克苏诺贝尔漆油（上海）有限公司,涂料制造,2022-12-26至2027-12-25,2022-12-26
12,上海市,市辖区,91310116770224684D001C,上海忆南奶牛养殖有限公司,有机肥料及微生物肥料制造,2022-12-26至2027-12-25,2022-12-26
13,上海市,市辖区,9131000005299318XW001P,东曹（上海）聚氨酯有限公司,初级形态塑料及合成树脂制造,2022-12-26至2027-12-25,2022-12-26
14,上海市,市辖区,91310000664332470G001U,上海稻畑精细化工有限公司,涂料制造,2022-12-26至2027-12-25,2022-12-26
15,上海市,市辖区,91310000607220376T001P,上海欧亚合成材料股份有限公司,初级形态塑料及合成树脂制造,2021-12-21至2026-12-20,2021-12-21
16,上海市,市辖区,91310116697211579W001Y,上海凝瑞粘合剂科技发展有限公司,其他专用化学产品制造,2022-12-20至2027-12-19,2022-12-20
17,上海市,市辖区,91310116695803116G001W,上海郁文实业有限公司,香料、香精制造,2022-12-20至2027-12-19,2022-12-20
18,上海市,市辖区,91310116662478847M001C,上海汇得科技股份有限公司,初级形态塑料及合成树脂制造,2022-12-20至2027-12-19,2022-12-20
19,上海市,市辖区,9131011675573837X5001P,上海巴德富实业有限公司,初级形态塑料及合成树脂制造,2022-12-20至2027-12-19,2022-12-20
20,上海市,市辖区,91310115759887639G001V,上海征宇反光材料有限公司,其他专用化学产品制造,2022-12-07至2027-12-06,2022-12-07
21,上海市,市辖区,9131000060743055X8001P,兴农药业（中国）有限公司,化学农药制造,2021-01-01至2025-12-31,2020-12-28
22,上海市,市辖区,91310230631063382Q001R,上海精科绿岛生物有机肥有限公司,有机肥料及微生物肥料制造,2022-12-14至2027-12-13,2022-12-14
23,上海市,市辖区,913102306958444367001V,上海跃进有机肥料有限公司,有机肥料及微生物肥料制造,2022-12-14至2027-12-13,2022-12-14
24,上海市,市辖区,91310000582115712Y001P,西萨化工（上海）有限公司,有机化学原料制造,2022-12-13至2027-12-12,2022-12-13
25,上海市,市辖区,913100006073622866002V,上海实业振泰化工有限公司（舜工路厂区）,其他基础化学原料制造,2022-12-08至2027-12-07,2022-12-08
