admissions,answerurl,belong,central,city_id,city_name,code_enroll,county_id,county_name,department,doublehigh,dual_class,dual_class_name,f211,f985,is_logo,is_recruitment,is_top,level,level_name,name,nature,nature_name,province_id,province_name,rank,rank_type,school_id,school_type,special,type,type_name,view_month,view_month_number,view_total,view_total_number,view_week,view_week_number,view_year,wangzi,dianhua,youxiang,zhandi,weizhi
1,,教育部,2,1101,北京市,1000300,110108,海淀区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,清华大学,36000,公办,11,北京,,,140,6000,[],5000,综合类,27.5w,275378,2307.7w,23076837,27.5w,275378,0,http://www.join-tsinghua.edu.cnhttps://www.tsinghua.edu.cn,"010-62770334,010-62782051",zsb@mail.tsinghua.edu.cn,占地面积（亩）：6632,学校地址：北京市海淀区清华大学
1,,教育部,2,1101,北京市,1000100,110108,海淀区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,北京大学,36000,公办,11,北京,,,31,6000,[],5000,综合类,18.6w,186033,2289.1w,22890600,18.6w,186033,0,http://www.gotopku.cnhttps://www.pku.edu.cn//,010-62751407,bdzsb@pku.edu.cn,占地面积（亩）：7000,学校地址：北京市海淀区颐和园路5号
1,,教育部,2,3301,杭州市,1033500,330106,西湖区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,浙江大学,36000,公办,33,浙江,,,114,6000,[],5000,综合类,19.4w,193707,1779.3w,17792702,19.4w,193707,0,https://zdzsc.zju.edu.cnhttps://www.zju.edu.cn/,"0571-87951006,0571-88981979",zsc@zju.edu.cn,占地面积（亩）：10335,学校地址：浙江省杭州市西湖区余杭塘路866号
1,,教育部,2,3101,上海市,1024800,310112,闵行区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,上海交通大学,36000,公办,31,上海,,,125,6000,[],5000,综合类,14.1w,140779,1666.3w,16662817,14.1w,140779,0,http://admissions.sjtu.edu.cnhttps://www.sjtu.edu.cn/,"021-34200000,021-34207255",zsb@sjtu.edu.cn,占地面积（亩）：4500,学校地址：上海市闵行区东川路800号
1,,教育部,2,3101,上海市,1024600,310110,杨浦区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,复旦大学,36000,公办,31,上海,,,132,6000,[],5000,综合类,13.2w,132343,1475.1w,14751287,13.2w,132343,0,http://www.ao.fudan.edu.cn/index.htmlhttps://www.fudan.edu.cn,"021-55666668,021-55666665,021-55666667",admission@fudan.edu.cn,占地面积（亩）：3659,学校地址：上海市杨浦区邯郸路220号
1,https://answer.eol.cn/fillmess/index?id=688&source=zsgk_app,教育部,2,3201,南京市,1028400,320106,鼓楼区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,南京大学,36000,公办,32,江苏,,,111,6000,[],5000,综合类,46.1w,460926,2112.6w,21125610,46.1w,460926,0,http://bkzs.nju.edu.cnhttps://www.nju.edu.cn/,400-1859680,bkzs@nju.edu.cn,占地面积（亩）：5532,"学校地址：仙林校区：江苏省南京市仙林大道163号,鼓楼校区：江苏省南京市汉口路22号"
1,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,中国科学院,1,3401,合肥市,1035800,340111,包河区,2,0,38000,双一流,1,1,1,1,2,2001,普通本科,中国科学技术大学,36000,公办,34,安徽,,,66,6000,[],5000,综合类,23.2w,231813,578.3w,5782559,23.2w,231813,0,http://zsb.ustc.edu.cnhttps://www.ustc.edu.cn/,"0551-63602553,551-63602553",zsb@ustc.edu.cn,占地面积（亩）：2175,学校地址：安徽省合肥市金寨路96号
1,https://answer.eol.cn/fillmess/index?id=702&source=zsgk_app,教育部,2,4201,武汉市,1048700,420111,洪山区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,华中科技大学,36000,公办,42,湖北,,,127,6000,[],5000,综合类,34.8w,347991,1756.9w,17569352,34.8w,347991,0,http://zsb.hust.edu.cn/http://www.hust.edu.cn/,"027-87542228,027-87559946",zs@hust.edu.cn,占地面积（亩）：7000,学校地址：湖北省武汉市洪山区珞喻路1037号;湖北省武汉市汉口航空路13号
1,https://answer.eol.cn/fillmess/index?id=621&source=zsgk_app,教育部,2,4201,武汉市,1048600,420106,武昌区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,武汉大学,36000,公办,42,湖北,,,42,6000,[],5000,综合类,17.1w,170645,2531.5w,25315170,17.1w,170645,0,http://aoff.whu.edu.cn/http://www.whu.edu.cn/,027-68754231,wlxxs@whu.edu.cn,占地面积（亩）：5195,学校地址：湖北省武汉市武昌区八一路299号
1,https://answer.eol.cn/fillmess/index?id=892&source=zsgk_app,教育部,2,6101,西安市,1069800,610103,碑林区,1,0,38000,双一流,1,1,1,1,2,2001,普通本科,西安交通大学,36000,公办,61,陕西,,,330,6000,[],5000,综合类,11w,109866,1223.1w,12231392,11w,109866,0,http://zs.xjtu.edu.cn/http://www.xjtu.edu.cn/,029-82668320,xjtuzs@mail.xjtu.edu.cn,占地面积（亩）：4658,学校地址：陕西省西安市咸宁西路28号
